ContactID,AccountID,FirstName,LastName,FullName,Department,JobTitle,Email,Phone,PrimaryContact,Status
CON000018,ACC00010,Robert,Davis,Robert Davis,HR,HR Executive,robert.davis@fusionsystems10.com,9902099969,No,Active
CON000019,ACC00010,Ava,Clark,Ava Clark,Operations,Operations Executive,ava.clark@fusionsystems10.com,9488690725,Yes,Active
CON000020,ACC00010,Robert,Martin,Robert Martin,Finance,Accountant,robert.martin@fusionsystems10.com,9197613238,No,Active
CON000021,ACC00010,James,Jones,James Jones,IT,Software Manager,james.jones@fusionsystems10.com,9271779360,No,Active
CON000022,ACC00011,Sophia,Lewis,Sophia Lewis,Sales,Sales Director,sophia.lewis@futureconsulting11.com,9668132202,Yes,Active
CON000023,ACC00011,Liam,Smith,Liam Smith,HR,HR Manager,liam.smith@futureconsulting11.com,9831980933,No,Active
CON000024,ACC00011,Sarah,Taylor,Sarah Taylor,Operations,Operations Manager,sarah.taylor@futureconsulting11.com,9415143362,No,Active
CON000025,ACC00011,William,White,William White,Sales,Sales Manager,william.white@futureconsulting11.com,9875340444,No,Active
CON000026,ACC00012,Noah,Brown,Noah Brown,Finance,Finance Director,noah.brown@eliteindustries12.com,9420452650,No,Active
CON000027,ACC00012,Noah,Lewis,Noah Lewis,Procurement,Procurement Manager,noah.lewis@eliteindustries12.com,9264109919,No,Active
CON000028,ACC00012,William,Thompson,William Thompson,HR,HR Manager,william.thompson@eliteindustries12.com,9743111853,Yes,Active
CON000029,ACC00013,James,Anderson,James Anderson,IT,System Administrator,james.anderson@elitenetworks13.com,9357109965,No,Active
CON000030,ACC00013,Joseph,Clark,Joseph Clark,IT,IT Manager,joseph.clark@elitenetworks13.com,9191969690,Yes,Active
CON000031,ACC00013,Charlotte,Williams,Charlotte Williams,Procurement,Procurement Manager,charlotte.williams@elitenetworks13.com,9237859287,No,Active
CON000032,ACC00014,Noah,Lewis,Noah Lewis,HR,HR Executive,noah.lewis@smartgroup14.com,9327416584,No,Active
CON000033,ACC00014,Jack,Miller,Jack Miller,Operations,Operations Executive,jack.miller@smartgroup14.com,9528414718,Yes,Active
CON000034,ACC00014,Benjamin,Anderson,Benjamin Anderson,Procurement,Purchase Executive,benjamin.anderson@smartgroup14.com,9655742829,No,Active
CON000035,ACC00014,James,Davis,James Davis,Sales,Sales Manager,james.davis@smartgroup14.com,9168747287,No,Active
CON000036,ACC00015,Liam,Davis,Liam Davis,Operations,Operations Manager,liam.davis@globaltechnologies15.com,9107721109,Yes,Active
CON000037,ACC00015,Henry,Johnson,Henry Johnson,IT,IT Manager,henry.johnson@globaltechnologies15.com,9172370545,No,Active
CON000038,ACC00015,Emma,Williams,Emma Williams,IT,Software Manager,emma.williams@globaltechnologies15.com,9355555531,No,Active
CON000039,ACC00016,Daniel,Thompson,Daniel Thompson,Sales,Sales Manager,daniel.thompson@elitegroup16.com,9876693898,No,Active
CON000040,ACC00016,Ethan,Harris,Ethan Harris,Operations,Operations Manager,ethan.harris@elitegroup16.com,9942478695,No,Active
CON000041,ACC00016,Ava,Miller,Ava Miller,Sales,Sales Manager,ava.miller@elitegroup16.com,9204078666,Yes,Active
CON000042,ACC00017,Ava,White,Ava White,Sales,Sales Manager,ava.white@infinityindustries17.com,9823019672,No,Active
CON000043,ACC00017,Benjamin,Brown,Benjamin Brown,Procurement,Procurement Manager,benjamin.brown@infinityindustries17.com,9532311310,No,Active
CON000044,ACC00017,Emma,Brown,Emma Brown,Procurement,Procurement Manager,emma.brown@infinityindustries17.com,9305718272,Yes,Active
CON000045,ACC00017,Liam,White,Liam White,Finance,Finance Manager,liam.white@infinityindustries17.com,9552991960,No,Active
CON000046,ACC00018,Joseph,Williams,Joseph Williams,Sales,Sales Director,joseph.williams@apexindustries18.com,9967607278,No,Active
CON000047,ACC00018,James,Johnson,James Johnson,Operations,Operations Manager,james.johnson@apexindustries18.com,9200140141,Yes,Active
CON000048,ACC00019,Charlotte,Harris,Charlotte Harris,Sales,Sales Manager,charlotte.harris@fusionsoftware19.com,9530613729,Yes,Active
CON000049,ACC00019,William,Thomas,William Thomas,IT,IT Manager,william.thomas@fusionsoftware19.com,9519212169,No,Active
CON000050,ACC00020,Ava,Thompson,Ava Thompson,HR,HR Executive,ava.thompson@fusioncorporation20.com,9266211829,No,Active
CON000051,ACC00020,Emily,Miller,Emily Miller,Finance,Finance Manager,emily.miller@fusioncorporation20.com,9721890096,Yes,Active
CON000052,ACC00020,Liam,Johnson,Liam Johnson,Procurement,Purchase Executive,liam.johnson@fusioncorporation20.com,9161380746,No,Active
CON000053,ACC00021,Noah,Garcia,Noah Garcia,Operations,Operations Manager,noah.garcia@bluesoftware21.com,9645276696,Yes,Active
CON000054,ACC00022,Lucas,Williams,Lucas Williams,IT,Software Manager,lucas.williams@nextsystems22.com,9352548261,Yes,Active
CON000055,ACC00023,Joseph,Clark,Joseph Clark,Operations,Operations Manager,joseph.clark@smartsoftware23.com,9765055833,Yes,Active
CON000056,ACC00023,Ava,Clark,Ava Clark,IT,Software Manager,ava.clark@smartsoftware23.com,9661333669,No,Active
CON000057,ACC00023,Sarah,Miller,Sarah Miller,HR,HR Executive,sarah.miller@smartsoftware23.com,9356287095,No,Active
CON000058,ACC00023,Sophia,Jones,Sophia Jones,HR,HR Executive,sophia.jones@smartsoftware23.com,9590941149,No,Active
CON000059,ACC00024,Mia,Lewis,Mia Lewis,IT,Software Manager,mia.lewis@brightconsulting24.com,9207354053,Yes,Active
CON000060,ACC00024,Liam,Miller,Liam Miller,IT,Software Manager,liam.miller@brightconsulting24.com,9384756779,No,Active
CON000061,ACC00024,Olivia,Williams,Olivia Williams,Finance,Finance Manager,olivia.williams@brightconsulting24.com,9496776692,No,Active
CON000062,ACC00025,Liam,Moore,Liam Moore,Sales,Sales Manager,liam.moore@apexgroup25.com,9817112652,Yes,Active
CON000063,ACC00025,Emily,Brown,Emily Brown,Operations,Operations Manager,emily.brown@apexgroup25.com,9383968123,No,Active
CON000064,ACC00025,James,Thompson,James Thompson,IT,IT Manager,james.thompson@apexgroup25.com,9392431670,No,Active
CON000065,ACC00026,Henry,Taylor,Henry Taylor,Finance,Finance Manager,henry.taylor@bluesoftware26.com,9838194420,No,Active
CON000066,ACC00026,Sarah,Martin,Sarah Martin,Procurement,Purchase Executive,sarah.martin@bluesoftware26.com,9369639388,No,Active
CON000067,ACC00026,David,Jackson,David Jackson,IT,System Administrator,david.jackson@bluesoftware26.com,9147337803,Yes,Active
CON000068,ACC00027,Benjamin,Wilson,Benjamin Wilson,Finance,Finance Manager,benjamin.wilson@futurenetworks27.com,9895890631,Yes,Active
CON000069,ACC00028,John,Brown,John Brown,Operations,Operations Manager,john.brown@digitalenterprises28.com,9841976666,No,Active
CON000070,ACC00028,Liam,Johnson,Liam Johnson,Finance,Accountant,liam.johnson@digitalenterprises28.com,9725464884,No,Active
CON000071,ACC00028,Robert,Jackson,Robert Jackson,Operations,Operations Manager,robert.jackson@digitalenterprises28.com,9144913399,No,Active
CON000072,ACC00028,Olivia,Johnson,Olivia Johnson,HR,HR Executive,olivia.johnson@digitalenterprises28.com,9325567963,Yes,Active
CON000073,ACC00029,Liam,Jackson,Liam Jackson,HR,HR Manager,liam.jackson@smartenterprises29.com,9354194771,Yes,Active
CON000074,ACC00029,William,Jackson,William Jackson,Finance,Finance Manager,william.jackson@smartenterprises29.com,9292587044,No,Active
CON000075,ACC00030,Jack,Davis,Jack Davis,Procurement,Purchase Executive,jack.davis@elitecorporation30.com,9270937380,No,Active
CON000076,ACC00030,James,Thomas,James Thomas,Procurement,Procurement Manager,james.thomas@elitecorporation30.com,9605399561,Yes,Active
CON000077,ACC00030,Daniel,White,Daniel White,Finance,Accountant,daniel.white@elitecorporation30.com,9427696198,No,Active
CON000078,ACC00031,Alexander,Miller,Alexander Miller,IT,System Administrator,alexander.miller@nextenterprises31.com,9452468587,Yes,Active
CON000079,ACC00031,David,Wilson,David Wilson,HR,HR Executive,david.wilson@nextenterprises31.com,9788785773,No,Active
CON000080,ACC00032,Liam,Taylor,Liam Taylor,Procurement,Procurement Manager,liam.taylor@infinitysolutions32.com,9223847257,No,Active
CON000081,ACC00032,William,Clark,William Clark,HR,HR Executive,william.clark@infinitysolutions32.com,9141078352,No,Active
CON000082,ACC00032,Lucas,Jackson,Lucas Jackson,IT,System Administrator,lucas.jackson@infinitysolutions32.com,9882269302,No,Active
CON000083,ACC00032,Ava,Lewis,Ava Lewis,HR,HR Manager,ava.lewis@infinitysolutions32.com,9513600440,Yes,Active
CON000084,ACC00032,Daniel,Wilson,Daniel Wilson,Operations,Operations Manager,daniel.wilson@infinitysolutions32.com,9861052404,No,Active
CON000085,ACC00033,Liam,Miller,Liam Miller,Operations,Operations Executive,liam.miller@smartnetworks33.com,9563102056,Yes,Active
CON000086,ACC00033,Alexander,Taylor,Alexander Taylor,IT,Software Manager,alexander.taylor@smartnetworks33.com,9437064353,No,Active
CON000087,ACC00033,James,Moore,James Moore,Procurement,Purchase Executive,james.moore@smartnetworks33.com,9816070802,No,Active
CON000088,ACC00033,Emma,Thomas,Emma Thomas,Sales,Sales Director,emma.thomas@smartnetworks33.com,9695295870,No,Active
CON000089,ACC00034,Alexander,Thomas,Alexander Thomas,Sales,Sales Manager,alexander.thomas@apexenterprises34.com,9760904107,Yes,Active
CON000090,ACC00034,Emily,Thomas,Emily Thomas,Operations,Operations Manager,emily.thomas@apexenterprises34.com,9426283245,No,Active
CON000091,ACC00035,Ethan,Lewis,Ethan Lewis,Sales,Sales Director,ethan.lewis@visionindustries35.com,9599277266,Yes,Active
CON000092,ACC00035,Mia,Miller,Mia Miller,Sales,Sales Director,mia.miller@visionindustries35.com,9952266893,No,Active
CON000093,ACC00035,William,Williams,William Williams,Procurement,Purchase Executive,william.williams@visionindustries35.com,9653462378,No,Active
CON000094,ACC00036,Joseph,Moore,Joseph Moore,IT,IT Manager,joseph.moore@bluetechnologies36.com,9966040317,No,Active
CON000095,ACC00036,Robert,Smith,Robert Smith,Finance,Finance Manager,robert.smith@bluetechnologies36.com,9362897676,No,Active
CON000096,ACC00036,Lucas,Williams,Lucas Williams,Sales,Sales Director,lucas.williams@bluetechnologies36.com,9545002643,Yes,Active
CON000097,ACC00036,Ethan,Miller,Ethan Miller,Procurement,Purchase Executive,ethan.miller@bluetechnologies36.com,9630833445,No,Active
CON000098,ACC00036,Joseph,Jones,Joseph Jones,Sales,Sales Manager,joseph.jones@bluetechnologies36.com,9906341966,No,Active
CON000099,ACC00037,William,Martin,William Martin,Finance,Accountant,william.martin@cloudsolutions37.com,9153921577,Yes,Active
CON000100,ACC00038,Mia,Jones,Mia Jones,IT,System Administrator,mia.jones@primegroup38.com,9816806128,No,Active
CON000101,ACC00038,Liam,Lewis,Liam Lewis,Operations,Operations Executive,liam.lewis@primegroup38.com,9910943524,Yes,Active
CON000102,ACC00038,Lucas,Martin,Lucas Martin,Sales,Sales Director,lucas.martin@primegroup38.com,9991816852,No,Active
CON000103,ACC00038,Mia,Garcia,Mia Garcia,Operations,Operations Executive,mia.garcia@primegroup38.com,9583258726,No,Active
CON000104,ACC00038,Joseph,Wilson,Joseph Wilson,HR,HR Executive,joseph.wilson@primegroup38.com,9772966010,No,Active
CON000105,ACC00039,David,Moore,David Moore,Sales,Sales Manager,david.moore@rapidgroup39.com,9391751878,No,Active
CON000106,ACC00039,Emma,Thompson,Emma Thompson,HR,HR Manager,emma.thompson@rapidgroup39.com,9248578017,Yes,Active
CON000107,ACC00040,Henry,Jones,Henry Jones,Sales,Sales Manager,henry.jones@futureenterprises40.com,9168965204,Yes,Active
CON000108,ACC00040,Ava,Taylor,Ava Taylor,Sales,Sales Director,ava.taylor@futureenterprises40.com,9546434187,No,Active
CON000109,ACC00041,Sophia,Clark,Sophia Clark,Sales,Sales Manager,sophia.clark@brightgroup41.com,9922050912,Yes,Active
CON000110,ACC00042,John,Anderson,John Anderson,Sales,Sales Director,john.anderson@futuresystems42.com,9909037759,No,Active
CON000111,ACC00042,Ava,Thompson,Ava Thompson,Sales,Sales Manager,ava.thompson@futuresystems42.com,9624232414,No,Active
CON000112,ACC00042,Sarah,Jackson,Sarah Jackson,Finance,Accountant,sarah.jackson@futuresystems42.com,9131165166,No,Active
CON000113,ACC00042,Emma,Thomas,Emma Thomas,Sales,Sales Manager,emma.thomas@futuresystems42.com,9601856351,Yes,Active
CON000114,ACC00042,Lucas,Thompson,Lucas Thompson,Finance,Finance Manager,lucas.thompson@futuresystems42.com,9523076025,No,Active
CON000115,ACC00043,John,Williams,John Williams,Procurement,Purchase Executive,john.williams@brightconsulting43.com,9245706210,No,Active
CON000116,ACC00043,William,Johnson,William Johnson,Sales,Sales Director,william.johnson@brightconsulting43.com,9507059676,No,Active
CON000117,ACC00043,Daniel,White,Daniel White,HR,HR Executive,daniel.white@brightconsulting43.com,9462388455,No,Active
CON000118,ACC00043,Sarah,Jackson,Sarah Jackson,Sales,Sales Director,sarah.jackson@brightconsulting43.com,9996478772,No,Active
CON000119,ACC00043,Charlotte,Smith,Charlotte Smith,IT,Software Manager,charlotte.smith@brightconsulting43.com,9679196799,Yes,Active
CON000120,ACC00044,Benjamin,Williams,Benjamin Williams,Finance,Finance Director,benjamin.williams@nextindustries44.com,9143226844,Yes,Active
CON000121,ACC00045,John,Lewis,John Lewis,Finance,Finance Manager,john.lewis@fusionsoftware45.com,9356135680,Yes,Active
CON000122,ACC00046,James,Clark,James Clark,Procurement,Procurement Manager,james.clark@bluesolutions46.com,9599326438,No,Active
CON000123,ACC00046,Sarah,Anderson,Sarah Anderson,Procurement,Procurement Manager,sarah.anderson@bluesolutions46.com,9750572325,Yes,Active
CON000124,ACC00047,Emily,Brown,Emily Brown,Finance,Finance Director,emily.brown@futuresystems47.com,9127571992,Yes,Active
CON000125,ACC00047,Ethan,Thomas,Ethan Thomas,HR,HR Executive,ethan.thomas@futuresystems47.com,9867741192,No,Active
CON000126,ACC00047,David,Clark,David Clark,Finance,Finance Director,david.clark@futuresystems47.com,9991819497,No,Active
CON000127,ACC00047,Joseph,Brown,Joseph Brown,Procurement,Purchase Executive,joseph.brown@futuresystems47.com,9834717549,No,Active
CON000128,ACC00047,James,Clark,James Clark,Operations,Operations Manager,james.clark@futuresystems47.com,9472807202,No,Active
CON000129,ACC00048,Olivia,Williams,Olivia Williams,Procurement,Purchase Executive,olivia.williams@globalsystems48.com,9113585139,No,Active
CON000130,ACC00048,Charlotte,Brown,Charlotte Brown,Sales,Sales Director,charlotte.brown@globalsystems48.com,9488896443,No,Active
CON000131,ACC00048,Mia,Jones,Mia Jones,Procurement,Purchase Executive,mia.jones@globalsystems48.com,9289125618,No,Active
CON000132,ACC00048,Noah,Wilson,Noah Wilson,Procurement,Purchase Executive,noah.wilson@globalsystems48.com,9599154414,Yes,Active
CON000133,ACC00048,Jack,Clark,Jack Clark,Sales,Sales Director,jack.clark@globalsystems48.com,9446071904,No,Active
CON000134,ACC00049,Mia,Davis,Mia Davis,HR,HR Executive,mia.davis@nexttechnologies49.com,9711871397,Yes,Active
CON000135,ACC00049,Alexander,Thomas,Alexander Thomas,Operations,Operations Executive,alexander.thomas@nexttechnologies49.com,9130816384,No,Active
CON000136,ACC00050,Charlotte,Miller,Charlotte Miller,Finance,Accountant,charlotte.miller@primecorporation50.com,9956665975,No,Active
CON000137,ACC00050,Emma,Wilson,Emma Wilson,HR,HR Executive,emma.wilson@primecorporation50.com,9696776072,No,Active
CON000138,ACC00050,Noah,Miller,Noah Miller,IT,IT Manager,noah.miller@primecorporation50.com,9359154084,Yes,Active
CON000139,ACC00050,Ava,Harris,Ava Harris,Procurement,Procurement Manager,ava.harris@primecorporation50.com,9841536135,No,Active
CON000140,ACC00051,John,Williams,John Williams,Sales,Sales Director,john.williams@smarttechnologies51.com,9337937327,No,Active
CON000141,ACC00051,Henry,Davis,Henry Davis,Sales,Sales Director,henry.davis@smarttechnologies51.com,9812921644,No,Active
CON000142,ACC00051,Olivia,Harris,Olivia Harris,Operations,Operations Executive,olivia.harris@smarttechnologies51.com,9556881239,No,Active
CON000143,ACC00051,Liam,Taylor,Liam Taylor,Procurement,Purchase Executive,liam.taylor@smarttechnologies51.com,9854684750,Yes,Active
CON000144,ACC00052,Sarah,Davis,Sarah Davis,HR,HR Manager,sarah.davis@vertexsolutions52.com,9874473159,No,Active
CON000145,ACC00052,Emma,Brown,Emma Brown,Finance,Finance Director,emma.brown@vertexsolutions52.com,9675379544,No,Active
CON000146,ACC00052,William,Miller,William Miller,Procurement,Procurement Manager,william.miller@vertexsolutions52.com,9893070706,Yes,Active
CON000147,ACC00052,Sarah,Clark,Sarah Clark,Sales,Sales Director,sarah.clark@vertexsolutions52.com,9207939087,No,Active
CON000148,ACC00053,Olivia,Garcia,Olivia Garcia,Finance,Accountant,olivia.garcia@dynamicindustries53.com,9115191689,No,Active
CON000149,ACC00053,Liam,Jones,Liam Jones,Procurement,Purchase Executive,liam.jones@dynamicindustries53.com,9148872110,Yes,Active
CON000150,ACC00054,Robert,Harris,Robert Harris,Procurement,Procurement Manager,robert.harris@unitedindustries54.com,9113169872,Yes,Active
CON000151,ACC00055,Charlotte,White,Charlotte White,Sales,Sales Director,charlotte.white@infinitycorporation55.com,9297958983,No,Active
CON000152,ACC00055,Sarah,Harris,Sarah Harris,IT,IT Manager,sarah.harris@infinitycorporation55.com,9982739959,No,Active
CON000153,ACC00055,Sophia,Harris,Sophia Harris,IT,IT Manager,sophia.harris@infinitycorporation55.com,9719571745,Yes,Active
CON000154,ACC00055,Alexander,Johnson,Alexander Johnson,Procurement,Procurement Manager,alexander.johnson@infinitycorporation55.com,9260199682,No,Active
CON000155,ACC00055,Emily,Williams,Emily Williams,Operations,Operations Manager,emily.williams@infinitycorporation55.com,9227186396,No,Active
CON000156,ACC00056,Lucas,Lewis,Lucas Lewis,Operations,Operations Manager,lucas.lewis@primegroup56.com,9932894596,No,Active
CON000157,ACC00056,Sophia,White,Sophia White,Operations,Operations Executive,sophia.white@primegroup56.com,9419280490,No,Active
CON000158,ACC00056,Ava,Moore,Ava Moore,Operations,Operations Manager,ava.moore@primegroup56.com,9754586204,No,Active
CON000159,ACC00056,James,Miller,James Miller,Procurement,Procurement Manager,james.miller@primegroup56.com,9384161612,Yes,Active
CON000160,ACC00056,David,Garcia,David Garcia,Procurement,Procurement Manager,david.garcia@primegroup56.com,9286630878,No,Active
CON000161,ACC00057,John,Jackson,John Jackson,Finance,Accountant,john.jackson@elitegroup57.com,9840206617,Yes,Active
CON000162,ACC00057,Charlotte,Moore,Charlotte Moore,Operations,Operations Manager,charlotte.moore@elitegroup57.com,9348545713,No,Active
CON000163,ACC00057,Henry,Moore,Henry Moore,HR,HR Executive,henry.moore@elitegroup57.com,9176428684,No,Active
CON000164,ACC00057,Joseph,Wilson,Joseph Wilson,Procurement,Procurement Manager,joseph.wilson@elitegroup57.com,9556489494,No,Active
CON000165,ACC00057,Liam,Davis,Liam Davis,IT,Software Manager,liam.davis@elitegroup57.com,9259976144,No,Active
CON000166,ACC00058,Michael,Garcia,Michael Garcia,IT,System Administrator,michael.garcia@infinitysoftware58.com,9738923667,Yes,Active
CON000167,ACC00058,Ethan,Moore,Ethan Moore,Procurement,Purchase Executive,ethan.moore@infinitysoftware58.com,9233523720,No,Active
CON000168,ACC00058,Henry,Moore,Henry Moore,Sales,Sales Director,henry.moore@infinitysoftware58.com,9392322121,No,Active
CON000169,ACC00059,Mia,Williams,Mia Williams,Sales,Sales Manager,mia.williams@unitedsolutions59.com,9563887247,No,Active
CON000170,ACC00059,Emma,Lewis,Emma Lewis,Procurement,Purchase Executive,emma.lewis@unitedsolutions59.com,9127772220,No,Active
CON000171,ACC00059,Joseph,Clark,Joseph Clark,IT,Software Manager,joseph.clark@unitedsolutions59.com,9122275263,No,Active
CON000172,ACC00059,Sarah,Clark,Sarah Clark,Procurement,Procurement Manager,sarah.clark@unitedsolutions59.com,9919382051,No,Active
CON000173,ACC00059,Charlotte,Martin,Charlotte Martin,Finance,Finance Director,charlotte.martin@unitedsolutions59.com,9574840200,Yes,Active
CON000174,ACC00060,Ava,Harris,Ava Harris,Operations,Operations Manager,ava.harris@eliteindustries60.com,9604669821,Yes,Active
CON000175,ACC00060,Ava,Taylor,Ava Taylor,HR,HR Executive,ava.taylor@eliteindustries60.com,9819550381,No,Active
CON000176,ACC00060,William,Taylor,William Taylor,IT,System Administrator,william.taylor@eliteindustries60.com,9844826434,No,Active
CON000177,ACC00061,Sophia,Thompson,Sophia Thompson,Procurement,Procurement Manager,sophia.thompson@fusiongroup61.com,9588365604,No,Active
CON000178,ACC00061,Emma,Wilson,Emma Wilson,IT,System Administrator,emma.wilson@fusiongroup61.com,9224469868,No,Active
CON000179,ACC00061,Noah,Smith,Noah Smith,Sales,Sales Director,noah.smith@fusiongroup61.com,9543721204,Yes,Active
CON000180,ACC00061,Daniel,Martin,Daniel Martin,IT,System Administrator,daniel.martin@fusiongroup61.com,9768548027,No,Active
CON000181,ACC00062,Daniel,Wilson,Daniel Wilson,IT,Software Manager,daniel.wilson@visionenterprises62.com,9240674381,No,Active
CON000182,ACC00062,Mia,Harris,Mia Harris,HR,HR Manager,mia.harris@visionenterprises62.com,9130998324,No,Active
CON000183,ACC00062,Lucas,Davis,Lucas Davis,Procurement,Procurement Manager,lucas.davis@visionenterprises62.com,9433665422,No,Active
CON000184,ACC00062,John,Thompson,John Thompson,Operations,Operations Executive,john.thompson@visionenterprises62.com,9200082623,Yes,Active
CON000185,ACC00063,James,Jones,James Jones,Sales,Sales Director,james.jones@visionconsulting63.com,9869446962,Yes,Active
CON000186,ACC00063,Noah,Wilson,Noah Wilson,HR,HR Executive,noah.wilson@visionconsulting63.com,9996278008,No,Active
CON000187,ACC00064,Mia,Thompson,Mia Thompson,Finance,Finance Manager,mia.thompson@cloudgroup64.com,9511872350,No,Active
CON000188,ACC00064,Lucas,Martin,Lucas Martin,Finance,Finance Director,lucas.martin@cloudgroup64.com,9246574716,No,Active
CON000189,ACC00064,Sarah,Jackson,Sarah Jackson,IT,System Administrator,sarah.jackson@cloudgroup64.com,9945805127,No,Active
CON000190,ACC00064,Sarah,Smith,Sarah Smith,Operations,Operations Executive,sarah.smith@cloudgroup64.com,9879591310,Yes,Active
CON000191,ACC00065,Alexander,Harris,Alexander Harris,Operations,Operations Manager,alexander.harris@nexttechnologies65.com,9579476614,No,Active
CON000192,ACC00065,Charlotte,Anderson,Charlotte Anderson,Operations,Operations Executive,charlotte.anderson@nexttechnologies65.com,9692616814,No,Active
CON000193,ACC00065,Sophia,White,Sophia White,Operations,Operations Executive,sophia.white@nexttechnologies65.com,9302563940,Yes,Active
CON000194,ACC00066,Ava,Johnson,Ava Johnson,Finance,Accountant,ava.johnson@smartgroup66.com,9899621068,No,Active
CON000195,ACC00066,Henry,Thomas,Henry Thomas,Sales,Sales Director,henry.thomas@smartgroup66.com,9812630453,Yes,Active
CON000196,ACC00067,Robert,Martin,Robert Martin,IT,Software Manager,robert.martin@apexsolutions67.com,9456476596,No,Active
CON000197,ACC00067,Mia,Brown,Mia Brown,IT,Software Manager,mia.brown@apexsolutions67.com,9590622789,Yes,Active
CON000198,ACC00068,Benjamin,Jones,Benjamin Jones,Sales,Sales Manager,benjamin.jones@infinitysoftware68.com,9604111692,Yes,Active
CON000199,ACC00069,Henry,Thomas,Henry Thomas,Operations,Operations Manager,henry.thomas@fusioncorporation69.com,9452794611,No,Active
CON000200,ACC00069,Liam,Thomas,Liam Thomas,Procurement,Purchase Executive,liam.thomas@fusioncorporation69.com,9773020489,Yes,Active
CON000201,ACC00069,Charlotte,Thompson,Charlotte Thompson,Procurement,Procurement Manager,charlotte.thompson@fusioncorporation69.com,9762992051,No,Active
CON000202,ACC00070,Alexander,Moore,Alexander Moore,Procurement,Procurement Manager,alexander.moore@digitalnetworks70.com,9901834280,Yes,Active
CON000203,ACC00071,Benjamin,Brown,Benjamin Brown,IT,System Administrator,benjamin.brown@futurenetworks71.com,9278632824,Yes,Active
CON000204,ACC00072,Emma,Johnson,Emma Johnson,IT,System Administrator,emma.johnson@infinitysolutions72.com,9484897084,Yes,Active
CON000205,ACC00072,Ava,Jones,Ava Jones,HR,HR Manager,ava.jones@infinitysolutions72.com,9670335494,No,Active
CON000206,ACC00072,Ethan,Garcia,Ethan Garcia,Sales,Sales Manager,ethan.garcia@infinitysolutions72.com,9287979290,No,Active
CON000207,ACC00073,Alexander,Davis,Alexander Davis,Operations,Operations Executive,alexander.davis@globalenterprises73.com,9726160204,Yes,Active
CON000208,ACC00074,Benjamin,Wilson,Benjamin Wilson,Sales,Sales Director,benjamin.wilson@visionenterprises74.com,9374154962,Yes,Active
CON000209,ACC00074,John,White,John White,Procurement,Purchase Executive,john.white@visionenterprises74.com,9827579147,No,Active
CON000210,ACC00075,Mia,Anderson,Mia Anderson,IT,Software Manager,mia.anderson@apexcorporation75.com,9421214426,No,Active
CON000211,ACC00075,Ava,Wilson,Ava Wilson,Procurement,Purchase Executive,ava.wilson@apexcorporation75.com,9424400672,Yes,Active
CON000212,ACC00075,Sophia,Harris,Sophia Harris,Finance,Finance Manager,sophia.harris@apexcorporation75.com,9354697684,No,Active
CON000213,ACC00075,Ethan,Anderson,Ethan Anderson,Sales,Sales Director,ethan.anderson@apexcorporation75.com,9850845198,No,Active
